No.,English,Spanish,IPA
,,español (castellano),pronunciation
1,I,yo,_o
2,you (singular),"tú, usted (formal)","tu, us'te_"
3,he,él,el
4,we,nosotros,no'sot_os
5,you (plural),"vosotros, ustedes (formal)","bo'sot_os , us'te_es"
6,they,ellos,'e_os
7,this,este,'este
8,that,"ese, aquel","'ese , a'kel"
9,here,"aquí, acá","a'ki , a'ka"
10,there,ahí,a'i
11,who,quien,kjen
12,what,que,ke
13,where,donde,'donde
14,when,cuando,'kwando
15,how,como,'komo
16,not,no,no
17,all,todo,'to_o
18,many,muchos,'mut__os
19,some,algunos,al'_unos
20,few,poco,'poko
21,other,otro,'ot_o
22,one,uno,'uno
23,two,dos,dos
24,three,tres,t_es
25,four,cuatro,'kwat_o
26,five,cinco,'_i_ko
27,big,grande,'__ande
28,long,largo,'la__o
29,wide,ancho,'ant__o
30,thick,grueso,'__weso
31,heavy,pesado,pe'sa_o
32,small,pequeño,pe'ke_o
33,short,corto,'ko_to
34,narrow,estrecho,es't_et__o
35,thin,"delgado, flaco","del'_a_o , 'flako"
36,woman,mujer,mu'xe_
37,man (male),hombre,'omb_e
38,man (human),hombre,'omb_e
39,child,niño,'ni_o
40,wife,"esposa, mujer","es'posa , mu'xe_"
41,husband,"esposo, marido","es'poso , ma'_i_o"
42,mother,madre,'ma__e
43,father,padre,'pa__e
44,animal,animal,ani'mal
45,fish,"pez, pescado","pe_, pes'ka_o"
46,bird,pájaro,'paxa_o
47,dog,perro,'pero
48,louse,piojo,'pjoxo
49,snake,serpiente,se_'pjente
50,worm,gusano,gu'sano
51,tree,árbol,'a__ol
52,forest,bosque,'boske
53,stick,palo,'palo
54,fruit,fruta,f_uta
55,seed,semilla,se'mi_a
56,leaf,hoja,'oxa
57,root,raíz,ra'i_
58,bark (of a tree),corteza,ko_'te_a
59,flower,flor,flo_
60,grass,hierba,'_e__a
61,rope,cuerda,'kwe__a
62,skin,piel,pjel
63,meat,carne,'ka_ne
64,blood,sangre,'sa___e
65,bone,hueso,'weso
66,fat (noun),grasa,'__asa
67,egg,huevo,'we_o
68,horn,cuerno,'kwe_no
69,tail,cola,'kola
70,feather,pluma,'pluma
71,hair,cabello,ka'_e_o
72,head,cabeza,ka'_e_a
73,ear,oreja,o'_exa
74,eye,ojo,'oxo
75,nose,nariz,na'_i_
76,mouth,boca,'boka
77,tooth,diente,'djente
78,tongue,lengua,'le__wa
79,fingernail,uña,'u_a
80,foot,pie,pje
81,leg,pierna,'pje_na
82,knee,rodilla,ro'_i_a
83,hand,mano,'mano
84,wing,ala,'ala
85,belly,barriga,ba'ri_a
86,guts,tripas,'t_ipas
87,neck,cuello,'kwe_o
88,back,espalda,es'palda
89,breast,pecho,'pet__o
90,heart,corazón,ko_a'_on
91,liver,hígado,'i_a_o
92,to drink,beber,be'_e_
93,to eat,comer,ko'me_
94,to bite,morder,mo_'_e_
95,to suck,chupar,t__u'pa_
96,to spit,escupir,esku'pi_
97,to vomit,vomitar,bomi'ta_
98,to blow,soplar,so'pla_
99,to breathe,respirar,respi'_a_
100,to laugh,reír,re'i_
101,to see,ver,be_
102,to hear,oír,o'i_
103,to know,saber,sa'_e_
104,to think,pensar,pen'sa_
105,to smell,oler,o'le_
106,to fear,temer,te'me_
107,to sleep,dormir,do_'mi_
108,to live,vivir,bi'_i_
109,to die,morir,mo'_i_
110,to kill,matar,ma'ta_
111,to fight,pelear,pele'a_
