No.,English,"Spanish
español (castellano)","IPA
pronunciation"
1,I,yo,ʝo
2,you (singular),"tú, usted (formal)","tu, us'teð "
3,he,él,el
4,we,nosotros,no'sotɾos 
5,you (plural),"vosotros, ustedes (formal)","bo'sotɾos , us'teðes "
6,they,ellos,'eʎos 
7,this,este,'este 
8,that,"ese, aquel","'ese , a'kel "
9,here,"aquí, acá","a'ki , a'ka "
10,there,ahí,a'i 
11,who,quien,kjen
12,what,que,ke
13,where,donde,'donde 
14,when,cuando,'kwando 
15,how,como,'komo 
16,not,no,no
17,all,todo,'toðo 
18,many,muchos,'mut͡ʃos 
19,some,algunos,al'ɣunos 
20,few,poco,'poko 
21,other,otro,'otɾo 
22,one,uno,'uno 
23,two,dos,dos
24,three,tres,tɾes
25,four,cuatro,'kwatɾo 
26,five,cinco,'θiŋko 
27,big,grande,'ɡɾande 
28,long,largo,'laɾɣo 
29,wide,ancho,'ant͡ʃo 
30,thick,grueso,'ɡɾweso 
31,heavy,pesado,pe'saðo 
32,small,pequeño,pe'keɲo 
33,short,corto,'koɾto 
34,narrow,estrecho,es'tɾet͡ʃo 
35,thin,"delgado, flaco","del'ɣaðo , 'flako "
36,woman,mujer,mu'xeɾ 
37,man (male),hombre,'ombɾe 
38,man (human),hombre,'ombɾe 
39,child,niño,'niɲo 
40,wife,"esposa, mujer","es'posa , mu'xeɾ "
41,husband,"esposo, marido","es'poso , ma'ɾiðo "
42,mother,madre,'maðɾe 
43,father,padre,'paðɾe 
44,animal,animal,ani'mal 
45,fish,"pez, pescado","peθ, pes'kaðo "
46,bird,pájaro,'paxaɾo 
47,dog,perro,'pero 
48,louse,piojo,'pjoxo 
49,snake,serpiente,seɾ'pjente 
50,worm,gusano,gu'sano 
51,tree,árbol,'aɾβol 
52,forest,bosque,'boske 
53,stick,palo,'palo 
54,fruit,fruta,fɾuta
55,seed,semilla,se'miʎa 
56,leaf,hoja,'oxa 
57,root,raíz,ra'iθ 
58,bark (of a tree),corteza,koɾ'teθa 
59,flower,flor,floɾ
60,grass,hierba,'ʝeɾβa 
61,rope,cuerda,'kweɾða 
62,skin,piel,pjel
63,meat,carne,'kaɾne 
64,blood,sangre,'saŋɡɾe 
65,bone,hueso,'weso 
66,fat (noun),grasa,'ɡɾasa 
67,egg,huevo,'weβo 
68,horn,cuerno,'kweɾno 
69,tail,cola,'kola 
70,feather,pluma,'pluma 
71,hair,cabello,ka'βeʎo 
72,head,cabeza,ka'βeθa 
73,ear,oreja,o'ɾexa 
74,eye,ojo,'oxo 
75,nose,nariz,na'ɾiθ 
76,mouth,boca,'boka 
77,tooth,diente,'djente 
78,tongue,lengua,'leŋɡwa 
79,fingernail,uña,'uɲa 
80,foot,pie,pje
81,leg,pierna,'pjeɾna 
82,knee,rodilla,ro'ðiʎa 
83,hand,mano,'mano 
84,wing,ala,'ala 
85,belly,barriga,ba'riɣa 
86,guts,tripas,'tɾipas 
87,neck,cuello,'kweʎo 
88,back,espalda,es'palda 
89,breast,pecho,'pet͡ʃo 
90,heart,corazón,koɾa'θon 
91,liver,hígado,'iɣaðo 
92,to drink,beber,be'βeɾ 
93,to eat,comer,ko'meɾ 
94,to bite,morder,moɾ'ðeɾ 
